index,logodds_difference,correct,total_logprob
0,0.0,1,-9.662213325500488
1,-0.0,0,-9.589097023010254
2,0.0,1,-9.495933532714844
3,-0.0,0,-9.524588584899902
4,0.0,1,-9.543496131896973
5,-0.0,0,-9.433449745178223
6,0.0,1,-9.5407075881958
7,-0.0,0,-9.415449142456055
8,0.0,1,-9.633532524108887
9,-0.0,0,-9.53890609741211
10,0.0,1,-9.645620346069336
11,-0.0,0,-9.530265808105469
12,0.0,1,-9.666254997253418
13,-0.0,0,-9.569360733032227
14,0.0,1,-9.686492919921875
15,-0.0,0,-9.709685325622559
16,0.0,1,-9.327604293823242
17,-0.0,0,-9.572909355163574
18,0.0,1,-9.515356063842773
19,-0.0,0,-9.450728416442871
20,0.0,1,-9.368807792663574
21,-0.0,0,-9.5702543258667
22,0.0,1,-9.530009269714355
23,-0.0,0,-9.332932472229004
24,0.0,1,-9.449334144592285
25,-0.0,0,-9.47601318359375
26,0.0,1,-9.415716171264648
27,-0.0,0,-9.579461097717285
28,0.0,1,-9.663168907165527
29,-0.0,0,-9.585392951965332
30,0.0,1,-9.350908279418945
31,-0.0,0,-9.500886917114258
32,0.0,1,-9.155177116394043
33,-0.0,0,-9.222046852111816
34,0.0,1,-9.263139724731445
35,-0.0,0,-9.231637001037598
36,0.0,1,-9.39420223236084
37,-0.0,0,-9.454545021057129
38,0.0,1,-9.464219093322754
39,-0.0,0,-9.362173080444336
