index,logodds_difference,correct,total_logprob
0,0.5,1,-0.8370124101638794
1,0.5,0,-1.0705507397651672
2,-0.5,1,-0.965403139591217
3,0.5,1,-1.1407119035720825
4,0.0,1,-1.1207998991012573
5,0.5,0,-0.9847649335861206
6,-0.5,1,-0.8429034948348999
7,0.5,0,-0.9699050784111023
8,0.0,1,-0.7387769222259521
9,-0.0,0,-1.0354546308517456
10,-1.0,1,-1.3937560319900513
11,0.5,0,-1.1823541522026062
12,-0.5,1,-1.0840290188789368
13,0.5,1,-0.9719801545143127
14,0.0,1,-0.9668468832969666
15,0.5,0,-0.8656035661697388
16,-0.5,1,-1.7732505798339844
17,0.5,0,-1.8286420702934265
18,-0.5,0,-1.2103514075279236
19,0.5,0,-2.1043001413345337
20,-0.5,1,-1.5837496519088745
21,1.0,0,-1.204557478427887
22,0.5,1,-0.8506794571876526
23,-0.0,0,-0.9308754801750183
24,0.0,1,-1.2452760338783264
25,1.0,0,-1.3083982467651367
26,-0.5,1,-1.1933031678199768
27,0.5,0,-1.4997279644012451
28,-0.5,1,-1.5437668561935425
29,1.0,0,-1.4014537930488586
30,-0.5,1,-1.3587807416915894
31,1.0,0,-1.6280505657196045
32,-0.5,1,-0.8615288734436035
33,-0.0,0,-1.2230885028839111
34,0.0,1,-1.7495193481445312
35,0.5,0,-1.849807620048523
36,-0.5,1,-0.9340410232543945
37,1.0,0,-0.8005451560020447
38,-0.5,1,-0.998863935470581
39,0.5,0,-1.670575737953186
