2022-03-14 14:46:32,667 [INFO] Logging set up with args
Namespace(dataset='conjunction-fallacy', dataset_path=None, exp_dir='/scratch/im2480/gpt2_conjunction_fallacy', models=['gpt2', 'gpt2-medium', 'gpt2-large', 'gpt2-xl'], use_gpu=True, colab=False, batch_size=1)
2022-03-14 14:46:32,667 [INFO] Saving to results to /scratch/im2480/gpt2_conjunction_fallacy
2022-03-14 14:49:36,503 [INFO] Logging set up with args
Namespace(dataset='conjunction_fallacy', dataset_path=None, exp_dir='/scratch/im2480/gpt2_conjunction_fallacy', models=['gpt2', 'gpt2-medium', 'gpt2-large', 'gpt2-xl'], use_gpu=True, colab=False, batch_size=1)
2022-03-14 14:49:36,503 [INFO] Saving to results to /scratch/im2480/gpt2_conjunction_fallacy
2022-03-14 14:57:43,995 [INFO] Logging set up with args
Namespace(dataset='conjunction_fallacy', dataset_path=None, exp_dir='/scratch/im2480/gpt2_conjunction_fallacy', models=['gpt2', 'gpt2-medium', 'gpt2-large', 'gpt2-xl'], use_gpu=True, colab=False, batch_size=1)
2022-03-14 14:57:43,995 [INFO] Saving to results to /scratch/im2480/gpt2_conjunction_fallacy
2022-03-14 14:57:44,018 [INFO] Copied data
2022-03-14 15:18:18,566 [INFO] Logging set up with args
Namespace(dataset='conjunction_fallacy', dataset_path=None, exp_dir='/scratch/im2480/gpt2_conjunction_fallacy', models=['gpt2', 'gpt2-medium', 'gpt2-large', 'gpt2-xl'], use_gpu=True, colab=False, batch_size=1)
2022-03-14 15:18:18,568 [INFO] Saving to results to /scratch/im2480/gpt2_conjunction_fallacy
2022-03-14 15:18:18,573 [INFO] Copied data
2022-03-14 15:43:51,485 [INFO] Logging set up with args
Namespace(dataset='conjunction_fallacy', dataset_path=None, exp_dir='/scratch/im2480/gpt2_conjunction_fallacy', models=['ada', 'babbage', 'curie'], use_gpu=False, colab=False, batch_size=50)
2022-03-14 15:43:51,486 [INFO] Saving to results to /scratch/im2480/gpt2_conjunction_fallacy
2022-03-14 15:43:51,490 [INFO] Copied data
2022-03-14 15:43:52,169 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:52,326 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:52,481 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:52,640 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:53,151 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:53,309 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:53,793 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:53,962 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:54,121 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:54,292 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:54,448 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:54,610 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
2022-03-14 15:43:54,775 [INFO] Retrying after error 401: {'message': 'Incorrect API key provided: None. You can find your API key at https://beta.openai.com.', 'type': 'invalid_request_error', 'param': None, 'code': None}
