index,loss,correct,total_logprob
0,0.2093908041715622,1,-0.2041313797235489
1,,,
2,,,
1,0.24649779498577118,1,-0.2657161355018616
2,,,
3,,,
2,1.3478277921676636,0,-0.3232218027114868
3,,,
4,,,
3,0.200516477227211,1,-0.1864776760339737
4,,,
5,,,
4,0.23977896571159363,1,-0.24496379494667053
5,,,
6,,,
5,1.363412618637085,0,-0.30308255553245544
6,,,
7,,,
6,0.19622766971588135,1,-0.1832180619239807
7,,,
8,,,
7,0.23513025045394897,1,-0.2387295961380005
8,,,
9,,,
8,1.393836498260498,0,-0.29577764868736267
9,,,
10,,,
9,0.19743138551712036,1,-0.17810317873954773
10,,,
11,,,
10,0.2379847764968872,1,-0.23322445154190063
11,,,
12,,,
11,1.3921892642974854,0,-0.28718194365501404
12,,,
13,,,
12,0.1995418667793274,1,-0.17970213294029236
13,,,
14,,,
13,0.24205923080444336,1,-0.23476958274841309
14,,,
15,,,
14,1.382351279258728,0,-0.28704699873924255
15,,,
16,,,
15,0.19575956463813782,1,-0.20648282766342163
16,,,
17,,,
16,0.23563359677791595,1,-0.27276718616485596
17,,,
18,,,
17,1.4230282306671143,0,-0.32906869053840637
18,,,
19,,,
18,0.18746495246887207,1,-0.19286465644836426
19,,,
20,,,
19,0.2291376143693924,1,-0.25638270378112793
20,,,
21,,,
20,1.4417777061462402,0,-0.31435179710388184
21,,,
22,,,
21,0.18405289947986603,1,-0.1902756541967392
22,,,
23,,,
22,0.2248782068490982,1,-0.2503225803375244
23,,,
24,,,
23,1.4701987504959106,0,-0.3072774112224579
24,,,
25,,,
24,0.1857920140028,1,-0.18483571708202362
25,,,
26,,,
25,0.22833815217018127,1,-0.24442532658576965
26,,,
27,,,
26,1.4687367677688599,0,-0.2978355586528778
27,,,
28,,,
27,0.18686574697494507,1,-0.1863161325454712
28,,,
29,,,
28,0.23109544813632965,1,-0.2456396073102951
29,,,
30,,,
29,1.4611150026321411,0,-0.2975330054759979
30,,,
31,,,
30,0.19547037780284882,1,-0.21439458429813385
31,,,
32,,,
31,0.23554694652557373,1,-0.2802436351776123
32,,,
33,,,
32,1.386257529258728,0,-0.3437948226928711
33,,,
34,,,
33,0.19987927377223969,1,-0.20184864103794098
34,,,
35,,,
34,0.24163718521595,1,-0.26503288745880127
35,,,
36,,,
35,1.3486446142196655,0,-0.329605370759964
36,,,
37,,,
36,0.18514445424079895,1,-0.19104966521263123
37,,,
38,,,
37,0.22618772089481354,1,-0.2500646710395813
38,,,
39,,,
38,1.4266531467437744,0,-0.3122856318950653
39,,,
40,,,
39,0.1864244043827057,1,-0.18563389778137207
40,,,
41,,,
40,0.22889357805252075,1,-0.24397504329681396
41,,,
42,,,
41,1.4250390529632568,0,-0.30359089374542236
42,,,
43,,,
42,0.18728308379650116,1,-0.18735851347446442
43,,,
44,,,
43,0.23121605813503265,1,-0.24532897770404816
44,,,
45,,,
44,1.4228312969207764,0,-0.3030562698841095
45,,,
46,,,
45,0.21879230439662933,1,-0.23501314222812653
46,,,
47,,,
46,0.25801897048950195,1,-0.29777491092681885
47,,,
48,,,
47,1.3013811111450195,0,-0.3645680546760559
48,,,
49,,,
48,0.2071790248155594,1,-0.21065841615200043
49,,,
