,prompt,completion
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about", signs
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,", Shane
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any", insurance
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied", Helen
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the", chains
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,", Hastin
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the", Queen
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said", Aidan
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said", Gabriel
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of", coffee
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the", fights
11,"Instead, I stare straight ahead like I'm deeply interested in what's going on at the front of the room.

Eventually, we make it through to the part where everyone stands up and says their little piece. Some have a longer, more in depth story to tell, which terrifies me. I don't want anyone to ask me for my", story
12,"Recall our encounter with the warbirds at the Federation border. Confirm my memory with yours.”
She turned Seren to face her. They placed their foreheads together as when they meditated together. They held hands beneath the surface of the water. They closed their eyes.
“There were five warbirds at the", border
13,"I was so happy to see him that I almost sobbed his name.
Eli stiffened and let out a hiss. “Mohiri!” Fear crept into his voice, and my dazed mind wondered what on earth scared a vampire.
Nikolas chuckled, and I felt a tremor run through my captor. “I see there is no need for", introductions
14,"""Come on, baby girl,"" Mary Jo said, scooping up the toy, then bending to retrieve her daughter. ""Let me change your diaper and put you down for a couple of hours.""

""She sleeps that long?""

""Almost every afternoon. She still takes a morning nap, too, but she'll outgrow those pretty soon.""

Lori knew she had a lot to learn about", babies
15,"I would really like to have some time with my mom.""

Lucien groaned inwardly. How could he say no to that? Julia was grieving for her mate and at a loss on how to deal with her daughter. Now Jaeden actually wanted to speak to her mom... he would be an ogre if he said no. He gave a quick nod and ignored the grateful smile she threw him before her and her mother ambled out of the room", together
16,"If Demerzel has the ability to change minds, he has to do so without bringing about side effects he does not wish-and since he is the Emperor's First Minister, the side effects he must worry about are numerous, indeed.""

""And the application to the present case?""

""Think about it! You can't tell anyone-except me, of course-that Demerzel is a robot, because he has adjusted you so that you can't. But how much adjustment did that take? Do you want to tell people that he is a", robot
17,"I leaned out the window and pointed at Floyd’s hearing aid.
Floyd dug the hearing aid out of his ear and made an adjustment. “Sorry,” he said, screwing it back in. “Blasted thing was turned off.”
“What happened to Chester?”
“Shot in the head’s what happened to", Chester
18,"‘Well I don’t know why, Nellie showed it to me many times. It has heaps of her poems and short stories in it; mostly girlie stuff though, which is why she obviously didn’t bother showing you. Strange that she left it to you though, I can’t imagine you would enjoy it very much.
‘Are you sure it is the same", book
19,"""We'll wait for you, Daddy,"" Izzy said, snuggling up to Annie.

Nick pressed the book into Izzy's hands and hurried out of the room. He came back a few minutes later, looking solemn.

Annie felt a prickling of fear. She sat up straighter, leaning forward. ""Nick?""

He eased back into the bed, on the other side of", Izzy
20,"""Michael wanted nothing to do with the business for a very long time,"" the older woman answered. ""He had his heart set on being a race-car driver.""

Maggie's mouth fell open. ""What?""

""Si. He was very good, though my heart stopped every time he went out on the track. No matter how many times his papa and I tried to discourage him, he found a way back on the", track
21,"A cowboy behind her said to break up a cheese slice and mush it down in the mixture.  Sarah took a slice of cheese to do just that.
Sarah and Tess sat at one of the large tables with other guests.  Everyone talked and laughed, while eating lunch.  It seemed a happy group. Dale watched from the back to make sure all was well and to get another look at", Sarah
22,"Brayden's face was a mix of incredulity and disappointment when I told him I had to leave.

""But you just... I mean..."" It was a rare moment of speechlessness for him.

""I'm sorry,"" I said earnestly. ""Especially after being late and ruining the museum. But it's a family emergency.""

""Your family has an awful lot of", emergencies
23,"""Thank you,"" Liz says, her sweaty face going into my neck. ""I'm so tired.""

""As soon as this is over, you can sleep. I promise.""

""Okay."" She says softly. The doctor walks in and sits down at the end of the bed.

""Are you ready for this,", Liz
24,Olaf slapped the boy real hard. Bob was momentarily stunned. Olaf then started yelling at him about calling him without permission unless it was emergency. The boy mumbled something crying at the same time. Bob got closer through the woods and stepped on a branch that cracked. Both Olaf and the boy heard it and walked towards, Bob
25,"Instead, its twin towers, now horizontal so as to appear like walkways, loomed over the deck of the Hercules, and the black ship stopped impossibly quickly, its movement suddenly halted.
No one moved for a moment and the two ships sat there, doing nothing. Then Lucius saw a movement near the top of the mighty warship as the hooked walkways descended downwards, until they reached down from the deck of the black vessel to the deck of the", Hercules
26,"She kisses me again.

""Oh-kay!"" Jen whistles. ""Can we go now? I don't wanna break up the lovey-dovey show goin' on, but I have shopping to do.""

I laugh and release Lexy, wrapping a friendly arm around Jen's shoulders. ""Oh, how dull my life would be without you,", Jen
27,"His smile widened. “I’ll keep it a secret.”
“Thank you.”
“Can you play?”
“Grace taught me how to play Chopsticks.”
“It’s a good place to start.” He tapped his card on the table. “I’ll think I’ll take another look at the", piano
